Product Name,Price,Rating,Seller Name
N/A,"1,499",4.5 out of 5 stars,"pTron Dynamo Power 20000mAh 22.5W Super Fast Charging Power Bank with Quick Charge & 20W Power Delivery, Built-in Charging Cables, 4 Outputs, Type-C Input/Output Port & LED Battery Display (Green)"
N/A,"2,199",4.3 out of 5 stars,"Xiaomi Power Bank 4i 20000mAh 33W Super Fast Charging PD | Power Delivery | QC 3.0|Type C Input & Output |Triple Output Ports|Olive Green|Supports Android,Apple, Tablets, Earbuds, Watches etc (MI)"
N/A,"1,449",4.1 out of 5 stars,"Portronics Luxcell Bind 20k 20000mAh Powerbank with 22.5W Fast Charging, in-Built Type C PD(Input & Output) /8 Pin Cable, LED Indicator, USB-A Mach Output, Compatible with Smartphones,Tablets(Black)"
N/A,"1,699",4.3 out of 5 stars,"MI 10000mAh Lithium Ion, Lithium Polymer Power Bank Pocket Pro with 22.5 Watt Fast Charging, Dual Input Ports(Micro-USB and Type C), Triple Output Ports, (Black)"
N/A,999,4.0 out of 5 stars,"boAt Energyshroom PB300 Powerbank with 10000mAh Battery, 22.5w Fast Charging, 12-Layer Smart IC Protection, LED Indicators and Aluminum Alloy Casing(Carbon Black)"
N/A,"1,799",4.3 out of 5 stars,"Xiaomi Pocket Power Bank pro 10000mAh 33W Super Fast Charging PD|Compact|Power Delivery|QC 3.0|Type C Input & Output|Triple Output Ports|Blue|Supports Android,Apple,Tablets,Earbuds,Watches etc (MI)"
N/A,"3,099",4.2 out of 5 stars,"Duracell 20000 MAH Slimmest Power Bank with 1 Type C PD and 2 USB A Port, 22.5W Fast Charging Portable Charger to Charges 3 Devices Simultaneously for iPhones, Android Phones, Smart Watches & More"
N/A,799,4.2 out of 5 stars,"LAPCARE Smart Tank VI 20000mAh Fast Charging Power Bank | Dual USB Port | Led Indicator | Compact & Slim Design | Made in India | Type C and 2 USB Ports, 12W Fast Charging Power Bank"
N/A,"1,149",N/A,LAPCARE Orange 10000mAh Powerbank | 22.5w PD Fast Charging | Digital Display | Dual Output(Type C PD + USB) | Type C Input | Wake Up Button & Smart Chip Protection | Made in India (Black)
N/A,"1,149",4.5 out of 5 stars,"LAPCARE Orange I 10000 mAh 22.5W Fast Charging Power Bank with Digital Display, Dual Output(Type C PD + 2 USB), Type C Input, Wake Up Button & Smart Chip(Black)"
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
